Date;Maturity;Maturity (year fraction);Strike;Volatility
2019-04;7Y;7,00;10,50;1,97
2019-04;8Y;8,00;10,50;1,91
2019-04;9Y;9,00;10,50;1,84
2019-04;10Y;10,00;10,50;1,89
2019-04;1M;0,08;11,00;2,77
2019-04;2M;0,16;11,00;2,75
2019-04;3M;0,24;11,00;2,72
2019-04;6M;0,49;11,00;2,73
2019-04;9M;0,73;11,00;2,74
2019-04;1Y;1,00;11,00;2,73
2019-04;2Y;2,00;11,00;2,60
2019-04;3Y;3,00;11,00;2,41
2019-04;4Y;4,00;11,00;2,29
2019-04;5Y;5,00;11,00;2,19
2019-04;6Y;6,00;11,00;2,12
2019-04;7Y;7,00;11,00;2,05
2019-04;8Y;8,00;11,00;1,99
2019-04;9Y;9,00;11,00;1,91
2019-04;10Y;10,00;11,00;1,96
2019-04;1M;0,08;11,50;2,94
2019-04;2M;0,16;11,50;2,91
2019-04;3M;0,24;11,50;2,90
2019-04;6M;0,49;11,50;2,91
2019-04;9M;0,73;11,50;2,90
2019-04;1Y;1,00;11,50;2,88
2019-04;2Y;2,00;11,50;2,72
2019-04;3Y;3,00;11,50;2,52
2019-04;4Y;4,00;11,50;2,38
2019-04;5Y;5,00;11,50;2,28
2019-04;6Y;6,00;11,50;2,20
2019-04;7Y;7,00;11,50;2,12
2019-04;8Y;8,00;11,50;2,06
2019-04;9Y;9,00;11,50;1,98
2019-04;10Y;10,00;11,50;2,03
2019-04;1M;0,08;12,00;3,10
2019-04;2M;0,16;12,00;3,05
2019-04;3M;0,24;12,00;3,06
2019-04;6M;0,49;12,00;3,07
2019-04;9M;0,73;12,00;3,06
2019-04;1Y;1,00;12,00;3,02
2019-04;2Y;2,00;12,00;2,83
2019-04;3Y;3,00;12,00;2,62
2019-04;4Y;4,00;12,00;2,48
2019-04;5Y;5,00;12,00;2,37
